Symbol,Percentage Change,Current Price,Day High,Day Low,Previous Close,P/E Ratio,Volume
ADANIENT,0.41,3153.5,3236.95,3083.05,3142.0,147.567,4685008
ADANIPORTS,1.08,1218.85,1239.5,1200.3,1207.65,41.528,7432319
APOLLOHOSP,-0.99,6287.95,6377.0,6267.8,6352.95,130.239,255111
ASIANPAINT,-1.07,2929.35,2972.85,2919.95,2957.85,51.582,3005985
AXISBANK,1.47,1084.25,1087.65,1056.8,1067.75,25.133,9756184
BAJAJ-AUTO,-0.16,7655.75,7765.0,7636.35,7667.55,29.281,394534
BAJFINANCE,-1.7,6743.3,6879.95,6733.0,6862.9,29.774,1910792
BAJAJFINSV,-0.14,1622.25,1632.0,1613.0,1627.3,33.566,1352356
BPCL,1.32,508.45,515.3,499.1,502.35,3.742,7002575
BHARTIARTL,-1.67,1151.2,1170.2,1148.95,1170.7,87.811,3605920
BRITANNIA,-1.05,5148.6,5201.95,5127.1,5198.4,48.788,344348
CIPLA,2.44,1387.65,1394.85,1352.05,1351.0,30.212,2784390
COALINDIA,0.16,406.7,411.9,402.5,406.15,8.933,8858576
DIVISLAB,-0.42,3655.4,3696.0,3636.05,3670.6,72.686,393604
DRREDDY,-2.14,5993.15,6149.4,5950.1,6121.15,19.123,622457
EICHERMOT,2.11,3933.2,3965.85,3843.0,3839.6,30.128,1313966
GRASIM,-2.6,2128.6,2178.9,2111.45,2175.0,21.182,638218
HCLTECH,0.13,1577.4,1597.0,1566.35,1576.0,27.272,2845259
HDFCBANK,0.27,1466.35,1473.6,1456.05,1462.55,15.33,16334845
HDFCLIFE,1.63,587.1,591.4,567.2,576.6,82.807,8910841
HEROMOTOCO,-0.79,4586.7,4717.85,4575.0,4621.55,28.275,660330
HINDALCO,-1.37,571.25,581.8,570.3,579.35,15.1,3509602
HINDUNILVR,-0.4,2473.6,2511.55,2468.35,2481.55,56.321,1727183
ICICIBANK,-0.34,1025.15,1033.95,1017.4,1028.15,17.221,13057971
ITC,0.19,442.9,447.75,439.3,441.55,26.957,19161575
INDUSINDBK,0.19,1541.15,1547.55,1523.55,1534.05,13.818,2240523
INFY,-0.36,1657.05,1677.0,1650.35,1660.9,28.105,5759720
JSWSTEEL,-1.89,801.7,822.0,800.1,818.65,17.424,2287283
KOTAKBANK,-0.13,1822.75,1832.05,1813.2,1825.25,20.805,2072103
LTIM,-1.17,5364.65,5434.0,5342.0,5448.55,34.669,495148
LT,-2.35,3398.0,3493.75,3371.0,3479.75,37.271,6147945
MARUTI,4.09,10637.95,10699.8,10204.0,10186.9,28.28,1869421
NTPC,1.26,322.0,326.95,317.1,317.5,17.34,24017412
NESTLEIND,-1.53,2467.8,2510.9,2462.7,2506.0,80.071,820124
ONGC,-1.72,247.65,254.65,245.45,252.25,7.235,29754415
POWERGRID,2.68,265.8,270.95,258.3,259.3,15.793,29927070
RELIANCE,-0.06,2853.3,2886.7,2836.1,2853.25,27.473,6673463
SBILIFE,2.34,1432.75,1459.7,1398.5,1401.15,76.864,1803639
SBIN,1.25,647.65,652.95,633.25,640.5,8.476,26573146
SUNPHARMA,-0.76,1407.95,1430.45,1398.9,1418.45,37.889,2442464
TCS,0.7,3854.15,3904.9,3805.05,3815.95,31.368,2362792
TATACONSUM,1.25,1129.65,1134.9,1108.0,1118.0,82.156,4727857
TATAMOTORS,-0.48,878.5,900.15,876.3,884.2,22.128,14502928
TATASTEEL,-0.77,134.8,136.75,134.55,135.95,0.0,31686199
TECHM,-1.53,1312.5,1336.35,1309.75,1333.65,41.352,2286290
TITAN,-1.88,3627.45,3738.0,3601.0,3697.55,97.12,1407545
UPL,-1.37,530.05,539.0,526.5,537.7,23.036,3657327
ULTRACEMCO,-2.34,9922.3,10233.25,9900.05,10167.35,44.563,401398
WIPRO,-1.41,471.35,477.7,470.6,478.15,22.005,3912558
